Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
17039397590,Kit com 10 Pacotes de Lenços Umedecidos Turminha da Bagunça 120 Folhas 20x13 cm - com Tampa Flip Top,"R$59,99","22,5mil",ATACADO DO LENÇO UMEDECIDO,10%,"R$6,00",https://shopee.com.br/product/604069672/17039397590,https://s.shopee.com.br/8UrhhIs87S
25364747416,Brinquedo de blocos de montar de figuras de ação para aprendizado prático de crianças,"R$0,98","37,4mil",Pendant.br,16%,"R$0,16",https://shopee.com.br/product/1134163048/25364747416,https://s.shopee.com.br/8KYHUzslSR
8255517619,Kit 10 Trava Gaveta Armário Geladeira Porta Vaso Sanitário Segurança Protetor Infantil A Tóxico Bebe,"R$23,90","59,1mil",Zabcon Variedades Ltda,6%,"R$1,43",https://shopee.com.br/product/445011614/8255517619,https://s.shopee.com.br/20eDxMGsJE
23492793076,Chupeta Alimentadora Bebe Para Frutas Com Tampa Higiênica Prática Com Bico De Mamadeira Macio,"R$10,99",13mil,BLUE BLUE,6%,"R$0,66",https://shopee.com.br/product/1148554752/23492793076,https://s.shopee.com.br/2Axe9fGEyH
19898696875,Kit Higiene 5 Peças Bebe Unha Pimpolho,"R$34,99","14,2mil",CantinhoBabysp,6%,"R$2,10",https://shopee.com.br/product/378105312/19898696875,https://s.shopee.com.br/2LH4LyFbdK
22493210003,Kit Brinquedos Para Bebê Chocalhos Mordedor Sensorial 5 Peças Brinquedo Infantil Musical Coisas de Bebê Neném Criança,"R$32,99","8,4mil",DIMMY SHOP,6%,"R$1,98",https://shopee.com.br/product/1315992339/22493210003,https://s.shopee.com.br/2VaUYHEyIN
20097685110,Kit 3 Cueiro Flanelado Estampado 50 x 80 Enxoval Infantil Bebê Menino Menina,"R$19,98",10mil,magiainfantil,6%,"R$1,20",https://shopee.com.br/product/1017646777/20097685110,https://s.shopee.com.br/1LOXA8JPfA
22493000811,"Bomba de tira leite,Bomba Elétrica Portátil Para Leite Materno Recarregável","R$99,88","14,2mil",Fang.store,6%,"R$5,99",https://shopee.com.br/product/526596865/22493000811,https://s.shopee.com.br/1VhxMRImKD
22493169665,Lixa de Unha Elétrico Aparador Cortador Para Bebê Infantil Com Estojo,"R$19,99","8,4mil",MY COMERCIO,6%,"R$1,20",https://shopee.com.br/product/371656735/22493169665,https://s.shopee.com.br/1g1NYkI8zG
22392929777,Lousa Mágica Tela Lcd 8.5 /10 /12 Polegadas Infantil De Escrever E Desenhar Tablet,"R$11,90",40mil,H&T Davi,6%,"R$0,71",https://shopee.com.br/product/421422443/22392929777,https://s.shopee.com.br/1qKnl3HVeJ
